"review","sentiment","reviewer","score","type","stay"
"If you wish to stay in nice comfy hotel, you better check this one. Its offer variety of rooms also offer a variety of good breakfast. Dont forget to try tolak angin flavor ice cream which feel mint flavor in your mouth. A realible staff will support your during your pleasant stay. This hotel provide nice view pool. Will be back for my next visit to jogya.","Positive","dwinanto_nuryahdi",5,"Traveled with family","July 2017"
"The location was not familiar for tourist, but then we found out that it was so close to Tugu where we can found many food stalls which unavailable near the hotel.   Room was spacious, very spacious with very comfortable bed. I can sleep the whole day with their bed and pillow. And it can hold 2 adults with 2 kids. Or one of you can also sleep in their sofa bed.   Their breakfast, I cannot complain. They also have fresh seafood salad, with their homemade sauce, which makes me wanting more and more and more. It was so delicious. Four thumbs up!  If you bring your kids, they have large kids club with playing arena which looks like in Lollipop! I would really love to stay here again!","Positive","uwiee2512",5,"Traveled on business","December 2016"
"Great hotel, located fairly close to the center of the town (Kraton, ... the King's palace), great Chinese restaurant with seafood options (prices well for western pocket). Good dim sum. Next door to this hotel, there is a batik place which sell hand printed batik with natural dye, their work is amazing. Down the street also you can find a well known meal from Jogjakarta, called ""Gudeg"", consist of rice, and chicken, young jackfruit cooked in coconut milk. Yummmy.  Enjoy your stay.","Positive","GATPHAM",4,"Traveled with family","September 2016"
"hotels are good in general. check in swift and helpful. lounge is smoking so expect to be filled with smoke. The biggest issue is STAINED bedsheets. Serious stains on all 5 pillows, bedsheets and blankets. Not sure what happened but just gross. It looked like some motorcycle drove through the bedsheets. Generally look 5 stars with 2 stars housekeeping.","Negative","jimmyprosper",3,"Traveled with family","August 2017"
"At this time, I can't give full stars for this hotel. Overall this hotel is awesome!! Specially the staffs are excellent and friendly.   The room is very spacious and comfortable. Unfortunately few small details that kinda bothers me. One of them is being the position of my room that's facing directly to the busy street. I had a hard time sleeping at night due to loud noises from motorcycles and cars. I wish the management put more attention to such rooms. Maybe double glass door?   Another small things that bugs me is the shower and the rain shower. In Indonesia, the water quality is very bad and due to lack of maintenance, the shower not properly works due to some shower holes stuck by some dirts.   Since this is a business trip, I'm really lazy to go out for dinner outside…","Negative","Polar773",4,"Traveled with family","August 2017"
"I like the smell of Lemongrass aromatherapy throughout the Lobby even in the Lobby's restroom. The Batik carpets are inspiring and the services were nice even though there were seminars and tour groups stayed at the hotel. The breakfast, lunch and dinner I had were excellent especially the traditional Jamu and Alang Sari drinks, Tolak Angin ice cream and the traditional food corner. You could try local Yogya culinary just in one place with proper and safe ingredients that you can trust compared to those on the Malioboro street. I cannot complain for the view as you can see the similar view almost everywhere downtown Yogya. The hotel cannot control other's property. I attended Australia Awards Indonesia post course and stayed at the hotel for free.","Positive","Prapen J",4,"Traveled with family","August 2017"
"Very comfortable hotel...friendly staff and always greetings with ""java languange""..food also good and delicous..plenty choice on breakfast menu with local food...the room quite large...pool and kids corner also very nice..","Positive","Uki Wiji Basuki",5,"Traveled on business","August 2017"
"Came to this place for a friend's wedding party. The room was REALLY Spacious and has a luxurious feel.  We also tried the breakfast and dinner at its restaurant: Kayu Manis It had so much variety of food, from local to international food.  You definitely need to try their Tolak Angin Ice Cream. It's their signature dessert.","Positive","MonicaPri",5,"Traveled with family","September 2016"
"We stayed at Tentrem from 27-30th of July for a conference. The room was spacious and luxurious. Unlike many hotels this hotel provides complementary drinks (limited) from the minibar. The staff were very courteous and helpful to the extent of recommending the purchase of a local SIM for the purpose of using GRAB for travel (cheaper). Breakfast selection is extensive, mainly local fare with some continental spread. Coffee service by the barista was excellent! Food at the conference was also excellent. We ate at the Summer Chinese Restaurant and we were very pleased with the service & food. My husband still talks about the salted egg eggplant dish. WiFi connection good throughout, except in Ballroom 3. It is so nice to see that they have maintained their traditional touches in…","Positive","kamalesaru",5,"Traveled with family","July 2017"
"I stayed at Tentrem Hotel 24-28 July'17 for a duty travel. Our activity conducted here. I am impressive with the welcoming front officer and how quick and effective the receptionist managed my check in and out. Room is very clean and nice. I really enjoy my sleep. The banquet team were very helpful and professional. The sales person is very communicative and cooperative. I would love to come and stay at Tentrem Hotel Yogyakarta for my future activities. Well done Tentrem!","Positive","Firman S",5,"Traveled with family","July 2017"
"We had one of the best hotel experiences staying at the Hotel Tentrem.  It's location was perfect for us to walk (cautiously given the traffic in the city) to the main shopping area of Malioboro as well as other sites.  The hotel itself is beautifully designed and decorated and we chose to pay extra to be on the club level and it definitely enhanced our experience of this lovely hotel with it's equally warm, friendly and helpful staff.  We had a beautifully appointed suite with a large bathroom that included all the toiletries you could need as well as a luxurious bathtub which was a delight at the end of a long, hot day of walking around the city.  The executive lounge offered amazing buffets for breakfasts, afternoon tea and evening cocktails, often including local cuisine…","Positive","Expatravel",5,"Traveled with family","July 2017"
"Hotel Tentrem is the one of 5 Stars hotel in Yogyakarta. Hotel Tentrem offers you a Luxurious stay, nice staff, yummy breakfast and easy access from everywhere. Tentrem located in the heart of Yogyakarta. so u can go anywhere easily. Big room and big bathroom make u feel comfort and warm. I guess u can enjoy your trip at Yogyakarta with Hotek Tentrem.","Positive","Bima L",5,"Traveled on business","February 2017"
"Staying here for one night for business trip. First of all impression of the building style are grand and classic. Old Javaneese atmosphere are very strong and it must be their selling point. Good odor all around hotels with good hospitality. Staff are very attentive and friendly. Friends are booked this hotel for me so i dont go thru check in process. I spend almost 6 hours at their lounge, its comfortable place to have small chat and also for business deal. And They have very good collection for spirits.  Room was comfy, standard 5 star size, love their bed and pillow tho it was very comfortable. Good aminity in bathroom but there's bo bath-tub, mini bar are free of charge which is nice. Breakfast was very nice, lots of choices and taste was good. Im impressed with their local…","Positive","Mikhael",4,"Traveled with family","July 2017"
"My family stayed only for one night. Very clean hotel, friendly and helpful staff. The executive rooms have its own lounge for evening cocktails and breakfast. The food was delicious. Large comfy beds with plenty of fluffy pillows.   I only wish that there had been an option of an outside sitting area for breakfast. ","Positive","thushari123",5,"Traveled with family","July 2017"
"Only one night here. Very Nice hotel. With big swimming-pool open in the morning unlike  Many others. Super bedrooms. And with lots of choices for breakfast. Reasonable pricing.  Very friendly service at frontdesk and restaurant. ","Positive","Marc C",4,"Traveled with family","July 2017"
"First impression, good ambience n friendly receptionist. Big room with twin bed for 2 adult n 2 kids, big bathroom, all the interior is best, almost like ambarrukmo hotel. But, when my kid take a bath, we feel uncomfortable with their showers, little water,cold and spurted not on focus, so we called house keeping about it, slow respont, we wait about 30-60 minutes until he came, he clean n check, but a shower was broken,i said he must change it, we wait again. Every thing ok and we extend for one day, and we find something unusual happen in my room (i write in my review). Breakfast is good, same for 3 days <U+0001F604>only 1 traditional food changed, taste so-so but we have 2 favorite menus, ""roti kukus"" and ""tolak angin ice cream"" 're our favorite <U+0001F44D><U+0001F3FC>. Fruit was not complete at 9.30,…","Negative","evelin i",3,"Traveled with family","July 2017"
"It was awesome awesome stay, the facilities was great, the staff were nice and polite, and the special thing i remembered that was extra ordinary was the breakfast, the number of the menu was alot, from local dishes, international to special menu brought by the chef ","Positive","Wibowo Hadi G",5,"Traveled on business","April 2017"
"Its amazing when you come into this hotel and you will be welcomed by bajaj (traditional transportation) that is used by President Jokowi for his presidential election in 2014.   However, its just the beginning of fabulous experience that you will get during your stay in this hotel. Excellent service and modern layout are their unique strengths.   Don't forget to try the welcoming drink since its healthy and so fresh.   Another uniqueness is ""jamu/herbal ice cream"" since this hotel owned by one of the biggest Indonesia's leading producers of Jamu (an herbal health drink).  Feel the unique experience with this hotel and you will understand why Obama (former president of USA) stay here when he came to Yogyakarta.","Positive","endruguez",5,"Traveled with family","February 2017"
"I stayed with my family in June 2017 for 4 nights in a Deluxe Room. Exceptional ambience and service. Room interiors are fantastic, specially the quality of bed and pillows is awesome. Food is great if you like to experiment with local cuisine. Staff is super polite and helpful. Has a kids pool and kids club for kids which are also good. Very happy with my stay.","Positive","piyushkh",5,"Traveled with family","June 2017"
"this is my second visit at the hotel... their service still remain the same... staff are very friendly... hotel room is nicely decorated.. their twinbed room can sleep for 4 persons.... this is my best hotel at yogyakarta so far... will be back for sure","Positive","Hendry E",5,"Traveled with family","June 2017"
"Had a very pleasant stay there. Staffs were so polite and helpful. Really enjoyed the room, especially the bed :) it is special made from KingKoil for Tentrem, reminds me of Westin. And breakfast buffet spread was great. Definitely come back! Keep up the good work :)","Positive","monkeymonk",5,"Traveled with family","June 2017"
"Loved this hotel. The service was amazing. The rooms amazing.  I spent so much time touring the temples I never got to enjoy the amenities the hotel provides.  If I every went back I would book an extra day to just stay at the hotel!!!","Positive","Roderick H",5,"Traveled on business","June 2017"
"This hotel owned by a traditional helbal medicine company. This hotel is amazing, the service, hospitality, the breakfast menu, rooms. It is a 5 stars service. Big LED smart TV, with ready for usb, hdmi port, wifi, wow perfect for business trip. The breakfast menu...... a lot of various food, japanese, western, traditional, asian.... all there ready for us to taste one by one, and the service wow me. The hotel also profide with indoor kids playground, outdoor sitting area. The gym..... amazing, very cozy and a lot of equipment can be use (hi quality) You can rent a mountain bike there (brand specialized) just for going arround, but when i rent the bike, it not well maintain.  The only problem with this hotel is traffic in front of the hotel.  But this hotel is amazing.","Positive","Eric R",5,"Traveled with family","September 2016"
"very large room, warm and cozy. perfect for boys too with its bath tub and large area. they have funtastic kids playground that never failed to please our boys.  breakfast were good, the have wide variety of food and all taste good. we've been stayed here for more than 20 nights in 4 years, and always love this hotel.","Positive","silvia122017",5,"Traveled with family","June 2016"
"As expected from the five stars hotel, this hotel is perfect. Great service and hospitality. Neat and spacious room. Large and comfortable meeting rooms. Although the meeting rooms is located a little bit far from the main building, but the access is good and clear. The hotel is located not too far away from the center of Yogyakarta city.","Positive","arieye",5,"Traveled with family","April 2017"
"Such a perfect ambience, room and breakfast menu...My most favorite hotel in Java so far. When I firstly book the hotel, I saw a bit high price compared with other hotels. But.. when I experienced it, it is really worth the pay and I am surely will comeback...","Positive","Marina Joice",5,"Traveled with family","May 2017"
"Arrived & d hotel smells amazing with lemongrass, welcome drink means cold traditional drink, room was impeccable, staffs were extremely polite - left something in the room & just remembered month later, called & they still kept it+ it was so easy asking them to deliver it with mail. This hotel is superb with excellent service! Until next time Tentrem...","Positive","Kenny  S",5,"Traveled on business","April 2017"
"This establishment has great varieties for breakfast, and by great I meant apart from good choice of international dishes, they have quite a number of local dishes with great taste! The Specialty is pecel tentrem (picture). It's salad of boiled veggies with peanut dressing. Yuumm. Try them all while you're there. Lovely.","Positive","Sisy T",5,"Traveled with family","May 2017"
"This hotel located on small street, not too crowded traffic. From far we can not see the building, but if we heading toward we can see. This hotel has good bedroom, clean and nice. Also has restaurants with tasty foods, both traditional and international. Out door pool can be enjoyed nearby the restaurants. If we wanna go to Borobudur or Prambanan temple or so many amazing places in Yogyakarta, we can stay at this hotel for a choice.","Positive","Goesar",5,"Traveled with family","April 2017"
"This hotel has a nice touch on javanese culture. This makes it so lovely. the room was spacious and clean. The hotel staff was super friendly, polite, and helpful. The breakfast also nice. They also has a nice lounge (comes with the type of room that i stayed in). Nice experience.","Positive","Angela P",4,"Traveled with family","June 2016"
"I stayed for 5 nights from May 6 to May 11, 2017 in the Premier Room. This type of room is located on the second floor. The room is a non-smoking room, but it has a balcony as they call it a smoking floor. I am not a smoker and I did not smell cigarette smoke at the balcony at all. So I was pretty much satisfied with the room. The hotel staff are very helpful too. One night it was almost midnight, and I need a mouthwash for my toothache. Even though they don't provide mouthwash, when I asked the hotel, they delivered it to my room.  If you are a gym enthusiast like me, you should try their gym. It has a lot of variety of machines and free weights, almost like my usual gym in California. The spa is also very nice, in addition to the large swimming pool, they also have a mini…","Positive","Ian Z",4,"Traveled with family","May 2017"
"This is not my first time stayed in this hotel.  To be honest I love this hotel, until that was happen with my room. I am leaving my room at nearly 9 am with push ""cleaning"" green ON, expecting will return not late evening. I am back at 3 pm and surprise...! All of room stuff still there, no one touch or clean at all. I complain and ROS said the period cleaning until 5pm so still about the time..  just curious how this 5 star hotel manage the room cleaning so slow ? Not satisfied with their response.. Seems this hotel must do improvement on room services! At least my opinion..","Negative","Tulus",3,"Traveled on business","May 2017"
"You will experience first class Indonesian hospitality here. The rooms are spacious with five star amenities.  The service is true Javanese where the staff are very helpful and polite. The place where you can feel the Jogja culture inside a western-type hotel. Its breakfast buffet is excellent, serving various food with affordable pricing","Positive","rzhrsjh",5,"Traveled with family","July 2016"
"Location: Not too far from several main tourist and important places in Yogyakarta  Service: very friendly staff especially in restaurant where breakfast is served, check in and out was fast.  Breakfast: the room rate is include breakfast and the breakfast was GREAT, a lot of choices from western to Indonesian.  Room: One of the most spacious room in Jogja, everything look and feel luxurious.  Others: This hotel is one of the most standout hotel in Jogja with a touch of Javanese culture here and there. Their gym I think is the best gym in town. Wifi is decent but I hope they could make it faster in the future. The mini bar with drinks in the fridge is included in room rates.  Suggestion: -","Positive","Hilmawan13",5,"Traveled with family","May 2017"
"We came for a short getaway to visit Borobudur and other temples. The Tentrem hotel was the most expensive one and I've assumed that it's the best one in Yogyakarta, so we booked it for 2 nights.  First disappointment that the hotel was trying to charge us additional 1 600 000 IDR (~ 120 USD) for a baby bed for a 4 years old child. Which is not only too much for Yogyakarta, but most of 5* stars provide this service complementary by request. Check in is super slow, the staff is not very friendly or welcoming. They put the complimentary drinks dispensing machine near the reception, but it looks very old + a lot of dirty glasses most of the time. The first night they give us a room facing the street, so since 3 am I couldn't sleep because of the traffic outside. And it's the last…","Negative","Liveyourdream_asia",3,"Traveled with family","May 2017"
"We stayed four nights here, we had 3 bookings for 5 rooms. Prior to arrival I called the hotel just to know whether our room is ready or not. It was 3 pm, and surprisingly only 1 room is ready, the rest isn't. And a little disappointed, I thought most hotels had check in time at 2 pm. Anyway, we waited a long time for that room. My room was ready at 4 pm, can you imagine? And the lobby isn't even full with people waiting for their rooms. Okay so check in time took too long.  The room itself is spacious, the twin beds can hold two adult and is still spacious. They also had sofa bed. So family with two kids can stay over and still enough room for everybody. Breakfast is superb, top notch so many varieties and also good. The jamu is fresh and delicious, they also serve roti kukus…","Positive","mamully",3,"Traveled with family","May 2017"
"My family and I stayed for 4 nights (509, 510 and 511). Service was good, no issue in this area. Highlight will be their breakfast menu. I like a lot their Indonesian menu (my favorite is Kupat Tahu). Many times at hotel you were serving local food that taste too westernized. Here, it's authentically tasted local. They have many options, so you need more than 1 week to try it all. However sunday morning can be too crowded and you need to wait for table up to 30 minutes (I hate waiting especially when I am hungry). Room is standard for this level of hotel (spacious and they provide sofa bed), but amenities I think could be improved and add local touch. Gym and swimming pool are good and if you come with family, there is good kid's playground which I think add a lot of value to…","Positive","Emeralda",4,"Traveled on business","April 2017"
"The hotel ambience was great, the room was not only luxurious but also spacious and has it's Jogyakarta atmosphere. Breakfast has a lot of to choose from, western to sushi but not to forget they do have the local dishes such nasi pecel, gudeg (etc) and fresh juice too! The music lounge, both the bar and the staff never fail to smile and being polite and helpful, while you're relaxing and enjoying over there, (and they're too taking a good care of you and your drink). The lobby staff were extremely helpful and never fail to smile. Their smile is contagious !! I'll definitely come back!  ","Positive","Benedicta M",5,"Traveled with family","April 2017"
"Very efficient check-in procedure, all service done with smiles and all staff members are very polite. The 2 bedrooms we stayed in are very big, cosy, clean and have good amenities.  The buffet breakfast is simply outstanding. Lots of varieties and they are all very well prepared and delicious.  Everybody who works there is not only polite but also very attentive, efficient and competent.  Perhaps it is not exaggerating if I say this is one of the best hotels I have stayed in. And, surprisingly for any hotels in Indonesia, the internet is not only fast but also FREE!!!","Positive","Ferry Adiwono",5,"Traveled with family","May 2017"
"Stayed at this hotel on november 2016. got the room with balcony with the view of mt. merapi.. the room was luxurious, but the only weakness is the lighting.. the room was too dim that makes us difficult to read or doing activity. and also the breakfast are very   good and there were so many options at kayumanis restaurant, but remember that you are not allowed to use hotel sandals.","Positive","Hario S",5,"Traveled with family","November 2016"
"this is our sixth time stayed, we have had a great experience since the beginning.  maybe the minor thing that missing is the scent of cinnamon (or maybe sweet recipe or i don't know) i was remember the smell.   anyway in conclusion this is a remarkable hotel and it is worth every penny (trust me) .  keep up the marvelous work guys ps. thanks for the surprise gift <U+263A>","Positive","benny s",5,"Traveled with family","April 2017"
"I LOVED this hotel. It is grand and new and gorgeous. The staff is fantastic. A bell hop actually escorted me when I needed to buy something at a deli across the street. The rooms are sumptuous. Ours looked over the beautiful pool. And the food was tasty and inexpensive. I'm sorry we only stayed one night","Positive","Mercy B",5,"Traveled on business","April 2017"
"The hotel is very large but very attractive. I had to wait a bit for check in but after that every part of the hotel experience was exceptional. The hotel pool was beautiful, the included breakfast was very good. I was here for a conference in the attached conference center and it was excellent as well.","Positive","Ray C",5,"Traveled with family","April 2017"
"Stay ther for the easter holiday.  Booked the premier room.  Huge, with pool view balcony,  nice day bed, very comfy bed, and super clean room.  Like it very much! The Service.  Every staff seemed to know their job with a very good attitude and smile.  Excellent service! The breakfast.  Many choices. From traditional to westrn even the sushis.   They even have the diet corner.  Very good.  Above average of the other 5 stars hotel.   They have music lounge nearby the reception,  it was so relaxing. Good music. Good sofas.  Overal, the hotel is a luxury hotel with excelent service.  The design the interior the furniter, everything is perfect. Even the tile is so nice.  Its like batik on the floor!!  Im surprised.  Didnt expect that tentrem hotel is this nice.   Ive stayed in other…","Positive","tgrace2000",5,"Traveled with family","April 2017"
"As the name implies, this hotel really makes us feel at ease in heart. The hotel facilities are very complete and luxurious and the service is very nice and friendly make us feel happy to stay in this hotel. Design and atmosphere of the Javanese theme is very relaxing. Food at breakfast choice very much and complete once. Which is recommended is to taste the ice cream ""tolak angin"" .The taste very distinctive different from ice cream in general. In front of the hotel also sells lots of street food which is cheap and tastes good. This hotel is highly recommended for those who want to enjoy Jogjakarta atmosphere in hotel dwelling","Positive","Ditta M",5,"Traveled with family","April 2017"
"I am very sorry to be negative compare to other reviews but unfortunately this is my experience. I arrived to Terterm Hotel after a long day from Jakarta, Semarang and finally Yogyakarta. I have booked 2 nights and wanted to extend an extra night but the room type I have booked in were sold out for that day. I asked for the manager in charge to find a solution for me, so I do not have to move from one room to another in a period of 2 days as I have checked in at 11:30 pm.  Unfortunately, Mr Eko's reaction was very negative to an extent that I felt the only option I have is to take it or leave it.  The situation became worth when the other duty manger Mr Fanny joined us, as he was also very unhelpful and even more negative.  I was very much looking forward to my stay in this…","Negative","LCI2012",2,"Traveled with family","April 2017"
"The hotel really fit its name which mean ""peaceful"" in Indonesian language.  The room is spacious and the service is excellent.  The gym and the pool are amazing.  The breakfast menu are all delicious and greatly varied from traditional to Asian/western menu.  We could also taste ""jamu"", the javanese traditional herb drinks.","Positive","I Widyahening",5,"Traveled on business","April 2017"
"Stayed for 2days and 1 night in their premier room and had a pleasant experience.  Check in was quick, it took less than 15 minutes to get everything done. Room was ready when we arrived and though we were placed in smoking floor, our non-smoking room request were done perfectly. There wasn't any scent of tobacco in the room.   Its a big room with sofa bed, and enough to accomodate 3 adults and 1 child under 12   Room service menu tasted good and their service is excellent. Breakfast buffet spread was nice. Food choices were plenty and tasted delicious  One thing that became my highlight during the stay was how accommodating their service were.  I been travel a lot while breastfeeding and Tentrem staff is one of the best! . They know how to treat  expressed breast milk and even…","Positive","Fortunata R",5,"Traveled with family","April 2017"
"Just spent 3 nights at this hotel together with my family. The room is very spacious also with big bed!! Plus there's a sofa bed.  If you travel with a family with 2 kids and want to save a bit of cost, just get the twin room.  The single bed is like a queen size, so it can fit two persons.    Breakfast is also amazing. With plenty of delicious choices. It has traditional Javanese food which I really like.  Opposite the hotel there are Circle K and Alfamart if you need to get personal amenities.   If you have at least 4 hours,  I highly recommend the Lava Tour. It's a offroad Jeep tour along the lava track.  It's really fun and enjoyable.","Positive","joytorelax",5,"Traveled with family","April 2017"
"Sometimes, there's a hotel that you just know you had to stay there while you visit a city. Tentrem is one of those hotel. I saw pictures in some friends' socmed feeds, and I just knew, I have to stay there at least once. So I did just that. And it exceeded all of my expectations. From the moment I walked in, to the time I walked out, I felt so well taken care of, and then some.  This place is obviously meticulously designed, where every little details are very well thought of. Bathroom door never make a sound upon closing, well stocked mini bar and small fridge, crisp linens and fluffy pillows. I hung some laundry on the balcony's sofa, and when I returned from my day trip, they provided ""jemuran"" (clothesline? Plastic kind one, i dunno what they are called in english) and…","Positive","dcarollina",5,"Traveled with family","March 2017"
"A perfect choice for your Jogja holiday! And here's a why: 1. Amazing services from the staff. They're nothing but helpful and kind. This is the kind of hotel that you should come back to after all of that traffic jam and tiring day in jogja. 2. Location, location and location! Near the bustling center of the tugu area. And if you want to push it through, you can walk all the way to malioboro street - if you prefer becak, it's just 35 rb only. 3. Great facilities and family friendly. For those of you with kids, they got this huge children play center. I know how this will help when you're traveling with kids. 4. Breakfast service is huge and they got selections of indonesian food that changes daily. 5. Room cleaning more than once a day. Never got this kind of service before!…","Positive","Alvin Raditya",5,"Traveled with family","March 2017"
"Luxurious 5 star hotel, with a local touch. Staffs are polite and nice. The room is spacious and clean. This hotel has the best pool, kids-friendly  (they have pool bed, too) and nice variety of  breakfast.","Positive","sliemen",5,"Traveled on business","December 2016"
"AMAZING!  literally in everything.   The services, the facilities, the food, the spa, the gym, the room, the playground and most of all.. the STAFF!  Not a lot of hotel makes my kids and I feel like home, I had a good rest and my baby slept well in their baby cot.  The staff's welcoming, kind and helpful attitude makes us so comfortable and ""Tentrem"".   The lemongrass scents in every corner was so serene and the Jamu drinks upon arrival was unique and delicious.  I'm leaving this hotel with a heavy heart because it was one of the best hotel stay experience in Indonesia if not ever and already thinking to plan a trip back to Yogyakarta to stay in this hotel.  Thank you so much, Hotel Tentrem for your wonderful hospitality <U+2764><U+FE0F><U+0001F64F><U+0001F3FC> ","Positive","SeafoxGoddess",5,"Traveled with family","March 2017"
"luxurious 5 star hotel with a local touch, the lobby is spacious and cozy, with a smell of herb parfume in lobby area,  we stayed for 4 nights in 2nd fl, the room is also spacious, clean, when the guest talk too loud, it can hear from my room, also in the night, beside my room turn the tv too loud it also can hear from my room,   the breakfast are various food from local to Western food. great hotel","Positive","Arifin W",5,"Traveled with family","March 2017"
"The expanse of the lobby and the general spaciousness all around, including the rooms, gave me a good feel. Service was excellent in all areas of the hotel. The buffet breakfast was vast, was spoilt for choice! Facilities were very good. Hotel looked new and fresh. Location was ok, just a short taxi ride to most places of interest. The lounge was also good to relax in with live music that did not drown conversation.  I would highly recommend this hotel.","Positive","Menonsu",5,"Traveled with family","March 2017"
"I was visit at hotel tentrem yogyakarta for my business trip in yogyakarta. this is luxury hotel with local touch, excellent room and  excellent staff services. the food also excellent . the pool .. i love it","Positive","jakaumbaran",5,"Traveled with family","March 2017"
"Incredible hotel at Jogjakarta. Efficient check-in and out. All staff are very courteous and welcoming. Requested earlier access to the gym and granted. Would not stay at any other hotel if coming back to Jogjakarta. ","Positive","Adventurer683978",5,"Traveled on business","March 2017"
"As always every March Conga will celebrate it's anniversary. This 71st anniversary took place at GadjahMada hospital but most of the people stay at Tentrem this is an amazing hotel with extraordinary breakfast. For 166K you can afford all food which are very pleasant...","Positive","Achdiat A",5,"Traveled with family","March 2017"
"Stayed at this hotel for 2 nights with our twin preschoolers.  Pro: - the kids LOVE the playground. With slides, ball pit,lots of puzzles and other toys.  - Love the atmosphere of the hotel. Comfy, cozy, plush, and opulent.  - Service is good. The staff is very friendly and helpful.  - Spa is good. Love the relaxing ambience.  - Pool is nice..  - Breakfast is mostly indonesian food. It's good if you like indonesian food. Western food.. err.. not so much. But overall it's a good hotel breakfast.   Cons: - the walls are so thin. You can hear the neighbor's TV when you're lying down at the bed. You can tell what channel they are watching.. Not very nice when this happened at 11pm.   Overall, we like the hotel.  Will we come back? Hmm.. I think so. But we will request a room at the…","Positive","squinting",3,"Traveled with family","February 2017"
"Been staying in this hotel for almost 2 months , everything is perfect ! the service is the best (3 times a day to clean up the room is brilliant!) , the foods? nothing can compare !  the summer palace resto is the best chinesse resto in town so far, the live music in ebony is really cool, but not for one of the waitres who is so annoying ,tryna hard to be cool and act like a friend but to notice, not all guest can be treated like that, he needs to learn more about politeness. besides that, all is just PERFECT !","Positive","aristosagita",5,"Traveled with family","January 2017"
"I came here only for the food, not the stay. But the food is totally amazing.   The all you can eat dimsum is easily the best dimsum here.  And the Chinese food is also very very delicious! There's even a very nice promotiom 40k for 2 lunch. It's not a lot per portion, but then you can try many smaller portion!  ","Positive","yosi_p2019",5,"Traveled with family","February 2017"
"Loved this place. Amazing room, amazing pool, amazing service everywhere. Everyone we interacted with were very nice and friendly. The food in the restaurants was very good and we loved the chinese buffet. Massage was very good too.","Positive","JamesOwen",5,"Traveled on business","January 2017"
"Who would ever think to combine Tolak Angin - a herbal remedy - with ice cream?  They did at the Tentrem. Of the many hotels in Yogyakarta, surely the Tentrem Hotel is the best. Any negative comments made are merely too assist the management to improve what is an excellent product.   The hotel is reputedly owned by the owner of the herbal remedy: Tolak Angin. Of the many mysteries of Indonesia, the ailment known as masuk angin or 'enter the wind' is one of the greatest. Since the populace constantly suffer from it, with the best 'repel the wind' elixir on the market and an ever swelling population, the owners are on to a good thing.  And to prove it, they lavished funds on this hotel making it the best in Yogyakarta, and among the best in Indonesia.   It delivers international…","Positive","PLaydoray",5,"Traveled with family","February 2017"
"Beautiful hotel. Spacious rooms. Loves the traditional 'Jamu' drink in reception area. Very friendly staff. My friend was looking around and a staff member was on hand walking us around and took times to show us the incredible ballroom and facilities. Too bad it was raining all day when we were there, so did not use the swimming pool.  The only thing missed from 5 star was that the receptionist seems confused when I asked the bill to be split (We had 2 rooms). Another thing was that on the initial booking stage, the concierge team seems to differentiate between foreigner and local (Indonesian). However, the service on site was very friendly.","Positive","minibisceper",4,"Traveled with family","January 2017"
"Hotel is clean security is good. It's a super atas aka high class hotel. We enjoyed the swimming pool very much. The Chinese restaurant is highly recommended. Staff is super friendly and polite.   A side note if you are a light sleeper, might need to consider as there is a nearby mosque. It would be great if the hotel windows are sound proof.   Overall it is a great hotel. We had a great stay. Thank you","Positive","Jacqueline W",5,"Traveled with family","January 2017"
"Been here for business trip. The ambince is mixed between luxury and traditional. The room is very spacey. The service is good. The breakfast was awesome.. they have many options from western, asia, traditional foods. Unlike many hotel which taste of traditional foods is so so, the restaurant of the hotel provide delicious traditional foods. Have a plan to comeback again with family for leisure someday","Positive","wike w",4,"Traveled with family","May 2016"
"Was upgraded to the VIP floor.  AWESOME!!!  Thank you!  Staff is really friendly and proffecional.  If ever in Yogyakarta again will only stay at this is hot :) sure to recommend to come here.  !!!!!!!!!!!!!!!!","Positive","rgwsf",5,"Traveled on business","December 2016"
"We stayed here three nights on a family trip.  Right from the check-in things were better than expected.  This is a clean and well maintained hotel.  The rooms are large and comfortable and my only negative comment is that the glass wall in the bathroom area limits privacy and also floods the rest of the room with light when used.  We stayed with our 7 month old infant and the hotel supplied both a nice crib and a baby bathtub.  I love the scent of lemongrass that fills the main hotel areas. That certainly gives it an relaxing atmosphere.  The pool is large and beautiful.  The buffet restaurant is huge and has many options, but perhaps the food quality is not quite up the the rest of the hotel.  Staff are very helpful in all areas.  I would definitely stay here again and…","Positive","RandyS",5,"Traveled with family","February 2017"
"The facilities are probably the best and better maintained in Jogya but the difference is the quality of service, something that often lacks in Indonesia. Rooms are ample and nice, staff very helpful, and the hotel is very clean and smells very well","Positive","Manuel F",5,"Traveled with family","January 2017"
"Good service. Nice and clean hotel with lemongrass fragrance. Room is spacious and clean, nice and comfy bed and in-room TV welcome page is a wow factor. Breakfast is good with plenty of variety. Good location and easy to get around. Definitely will come back again.","Positive","cloverleaf33",5,"Traveled with family","July 2016"
"Our stay for the show along with several other families. all show some of our farewell. This hotel is a 5 star local hotel that has the same standards as other 5 star hotels that international certified. and that makes us curious to stay there. The rooms including luxurious than other 5 star hotels .... we really want to go back to stay here another time.","Positive","wilfridus2017",5,"Traveled with family","February 2016"
